Time,Queue_Size(KB),Latency(ms),Bandwidth(Mbps),Prediction_Action
1773585564,26.4,41.27,1.96,MAINTAIN_FLOW
1773585565,21.12,39.94,1.96,MAINTAIN_FLOW
1773585566,16.5,41.93,1.83,MAINTAIN_FLOW
1773585567,22.4,34.81,1.86,MAINTAIN_FLOW
1773585568,22.99,30.6,1.99,MAINTAIN_FLOW
1773585569,13.31,33.2,1.93,MAINTAIN_FLOW
1773585570,25.46,41.54,1.94,MAINTAIN_FLOW
1773585571,10.26,23.03,1.99,MAINTAIN_FLOW
1773585572,17.59,32.03,1.97,MAINTAIN_FLOW
1773585573,22.46,44.73,1.97,MAINTAIN_FLOW
1773585574,14.98,44.87,1.97,MAINTAIN_FLOW
1773585575,26.94,20.79,1.81,MAINTAIN_FLOW
1773585576,27.2,25.53,1.82,MAINTAIN_FLOW
1773585577,23.33,37.87,1.83,MAINTAIN_FLOW
1773585578,19.73,31.01,1.88,MAINTAIN_FLOW
1773585579,18.26,39.39,1.97,MAINTAIN_FLOW
1773585580,28.1,37.73,1.88,MAINTAIN_FLOW
1773585581,30.07,40.42,0.93,THROTTLE_SOURCE
1773585582,23.62,39.55,1.95,MAINTAIN_FLOW
1773585583,28.29,44.34,0.96,THROTTLE_SOURCE
1773585584,17.4,23.06,1.94,MAINTAIN_FLOW
1773585585,15.17,38.61,1.95,MAINTAIN_FLOW
1773585586,16.67,33.29,1.89,MAINTAIN_FLOW
1773585587,26.97,36.08,1.9,MAINTAIN_FLOW
1773585588,30.81,29.05,1.91,MAINTAIN_FLOW
1773585589,26.12,30.35,1.85,MAINTAIN_FLOW
1773585590,25.5,33.38,1.82,MAINTAIN_FLOW
1773585591,12.81,25.91,1.84,MAINTAIN_FLOW
1773585592,21.35,43.45,1.95,MAINTAIN_FLOW
1773585593,13.78,39.16,1.85,MAINTAIN_FLOW
1773585594,26.21,38.3,1.99,MAINTAIN_FLOW
1773585595,20.37,34.47,1.94,MAINTAIN_FLOW
1773585596,29.69,42.61,0.99,THROTTLE_SOURCE
1773585597,14.34,39.49,1.91,MAINTAIN_FLOW
1773585598,20.96,27.69,1.94,MAINTAIN_FLOW
1773585599,30.25,30.93,1.93,MAINTAIN_FLOW
